6320407,344604,1257,0,,71,,,,,
6320405,344604,1092,179,,71,,,,,
6320406,344604,1093,203,,71,,,,,
6320400,344604,2000,2.44,,71,,,,,
6320404,344604,1087,13,,71,,,,,
6320397,344604,1004,0.41,,71,,,,,
6320403,344604,1084,0,,71,,,,,
6320396,344604,1003,0.81,,71,,,,,
6320408,344604,1292,0,,71,,,,,
6320398,344604,1005,4.07,,71,,,,,
6320409,344604,1293,0,,71,,,,,
6320401,344604,1079,0.8,,71,,,,,
6320399,344604,1008,24,,71,,,,,
6320402,344604,1082,0,,71,,,,,
3639115,344604,1258,0,,75,,,,,
3639112,344604,1089,0,,75,,,,,
3639114,344604,1253,0,,75,,,,,
3639113,344604,1110,0,,75,,,,,
6321411,344605,1292,0,,71,,,,,
6321402,344605,1005,4.07,,71,,,,,
6321406,344605,1082,0,,71,,,,,
6321409,344605,1093,203,,71,,,,,
6321407,344605,1084,0,,71,,,,,
6321405,344605,1079,0.8,,71,,,,,
6321410,344605,1257,0,,71,,,,,
6321403,344605,1008,24,,71,,,,,
6321404,344605,2000,2.44,,71,,,,,
6321408,344605,1092,179,,71,,,,,
6321412,344605,1293,0,,71,,,,,
6321400,344605,1003,0.81,,71,,,,,
6321401,344605,1004,0.41,,71,,,,,
3639928,344605,1110,0,,75,,,,,
3639930,344605,1258,0,,75,,,,,
3639929,344605,1253,0,,75,,,,,
3639926,344605,1087,16,,75,,,,,
3639927,344605,1089,0,,75,,,,,
6366718,344606,1093,67,,72,,,,,
6366715,344606,2000,0,,72,,,,,
6366717,344606,1087,0,,72,,,,,
6366722,344606,1258,0.89,,72,,,,,
6366716,344606,1079,0,,72,,,,,
6366719,344606,1162,0,,72,,,,,
6366714,344606,1005,0,,72,,,,,
6366713,344606,1004,2.68,,72,,,,,
6366721,344606,1257,0,,72,,,,,
6366712,344606,1003,23.21,,72,,,,,
6366720,344606,1253,58,,72,,,,,
2878122,344606,1089,1.29,,75,,,,,
6366747,344607,1093,67,,72,,,,,
6366748,344607,1253,58,,72,,,,,
6366749,344607,1258,0.89,,72,,,,,
6366743,344607,1003,23.21,,72,,,,,
6366744,344607,1004,2.68,,72,,,,,
6366745,344607,1005,0,,72,,,,,
6366746,344607,1079,0,,72,,,,,
2878149,344607,1162,0,,75,,,,,
2878148,344607,1104,0,,75,,,,,
2878146,344607,1087,0,,75,,,,,
2878147,344607,1089,1.29,,75,,,,,
6366740,344608,1093,103,,72,,,,,
6366738,344608,1003,18.75,,72,,,,,
6366742,344608,1258,4.46,,72,,,,,
6366739,344608,1004,15.18,,72,,,,,
6366741,344608,1253,89,,72,,,,,
2878142,344608,1087,18,,75,,,,,
2878145,344608,1162,0,,75,,,,,
2878141,344608,1079,0,,75,,,,,
2878140,344608,1005,0,,75,,,,,
2878143,344608,1089,0.96,,75,,,,,
2878144,344608,1104,89,,75,,,,,
6270645,344609,2000,30.7,,78,,,,,
6270660,344609,1165,0,,78,,,,,
6270640,344609,1003,3.9,,78,,,,,
6270667,344609,1257,0.1,,78,,,,,
6270648,344609,1084,0,,78,,,,,
6270666,344609,1253,0,,78,,,,,
6270652,344609,1091,47,,78,,,,,
6270658,344609,1124,0,,78,,,,,
6270649,344609,1087,12,,78,,,,,
6270661,344609,1166,0.34,,78,,,,,
6270653,344609,1092,53,,78,,,,,
6270662,344609,1167,4,,78,,,,,
6270641,344609,1004,9.8,,78,,,,,
6270644,344609,1051,12.8,,78,,,,,
6270655,344609,1095,0.3,,78,,,,,
6270664,344609,1177,65,,78,,,,,
6270651,344609,1090,7,,78,,,,,
6270668,344609,1258,3.2,,78,,,,,
6270656,344609,1104,1000,,78,,,,,
6270642,344609,1005,72.7,,78,,,,,
6270659,344609,1162,0,,78,,,,,
6270657,344609,1110,0,,78,,,,,
6270670,344609,1293,3.6,,78,,,,,
6270669,344609,1292,2.2,,78,,,,,
6270646,344609,1079,1.3,,78,,,,,
6270663,344609,1175,0.4,,78,,,,,
6270647,344609,1082,1,,78,,,,,
6270650,344609,1089,3.6,,78,,,,,
6270643,344609,1007,0.8,,78,,,,,
